timestamp,latitude,longitude,sog_kts,cog,hdg_true,roll,pitch,altitude_m,declination,q_w,q_x,q_y,q_z
2024-04-01T10:14:44.063,45.8744750,10.8667516,1.500,236.9,3.4,-10.7,5.2,82,0.0,0.994017303,-0.094821602,0.042136494,0.034001689
2024-04-01T10:14:44.652,45.8744733,10.8667433,1.000,267.4,5.9,-10.0,2.9,81,0.0,0.994418085,-0.088672578,0.021031432,0.053104192
2024-04-01T10:14:45.069,45.8744716,10.8667400,1.300,278.8,3.6,-8.2,4.9,81,0.0,0.995928705,-0.072725691,0.040415335,0.034578077
2024-04-01T10:14:45.656,45.8744683,10.8667366,1.300,261.3,3.9,-7.4,7.4,81,0.0,0.995059371,-0.066870362,0.062447347,0.038460176
2024-04-01T10:14:46.070,45.8744666,10.8667350,1.200,302.0,3.4,-7.9,6.0,81,0.0,0.995706379,-0.070589684,0.049792096,0.033162616
2024-04-01T10:14:46.655,45.8744666,10.8667350,0.500,326.0,0.5,-7.6,5.7,80,0.0,0.996539891,-0.066418439,0.049336817,0.007428861
2024-04-01T10:14:47.067,45.8744683,10.8667366,0.500,312.5,359.1,-7.1,4.3,80,0.0,0.997337818,-0.061811645,0.038216624,-0.005270672
2024-04-01T10:14:47.654,45.8744700,10.8667383,0.200,128.3,1.4,-4.6,4.5,80,0.0,0.998347104,-0.040373262,0.038503613,0.013496563
2024-04-01T10:14:48.069,45.8744683,10.8667400,0.700,218.7,6.2,-5.1,4.0,79,0.0,0.996884227,-0.046071492,0.032406114,0.055148151
2024-04-01T10:14:48.644,45.8744650,10.8667433,0.800,144.0,357.3,-9.4,3.2,79,0.0,0.996005356,-0.081276245,0.029923934,-0.021558993
2024-04-01T10:14:49.068,45.8744616,10.8667450,0.100,306.8,354.7,-8.0,3.5,79,0.0,0.996120453,-0.068315186,0.033859096,-0.043841612
2024-04-01T10:14:49.566,45.8744600,10.8667466,0.700,161.6,0.6,-4.8,4.1,79,0.0,0.998459756,-0.041693740,0.035873402,0.006669709
2024-04-01T10:14:50.069,45.8744600,10.8667466,0.000,179.9,5.3,-2.8,4.7,78,0.0,0.997743607,-0.026129747,0.040085699,0.047012292
2024-04-01T10:14:50.660,45.8744600,10.8667416,0.000,179.9,0.4,-5.3,4.0,78,0.0,0.998302519,-0.046526842,0.034548815,0.005049067
2024-04-01T10:14:51.075,45.8744583,10.8667416,0.000,179.9,0.5,-6.7,3.6,78,0.0,0.997784197,-0.058207572,0.031513140,0.006145092
2024-04-01T10:14:51.657,45.8744550,10.8667416,0.000,179.9,358.3,-6.7,2.9,78,0.0,0.997856677,-0.058331408,0.026360484,-0.013295438
2024-04-01T10:14:52.074,45.8744533,10.8667400,0.000,179.9,359.8,-6.4,4.0,78,0.0,0.997833550,-0.055406306,0.035359874,0.000225312
2024-04-01T10:14:52.664,45.8744500,10.8667383,0.000,179.9,3.1,-3.0,3.7,78,0.0,0.998728633,-0.027054366,0.031946491,0.027933262
2024-04-01T10:14:53.067,45.8744500,10.8667383,0.000,179.9,4.8,-2.8,4.6,78,0.0,0.998016477,-0.025615621,0.038660705,0.042473137
2024-04-01T10:14:53.662,45.8744500,10.8667366,0.000,179.9,0.9,-5.6,4.2,78,0.0,0.998074532,-0.049286116,0.036180180,0.010033712
2024-04-01T10:14:54.076,45.8744516,10.8667366,0.000,179.9,353.7,-8.2,3.0,78,0.0,0.995704532,-0.069588646,0.030128179,-0.053047694
2024-04-01T10:14:54.657,45.8744500,10.8667366,0.000,179.9,358.9,-6.3,3.6,78,0.0,0.997987926,-0.054359995,0.031564221,-0.007817470
2024-04-01T10:14:55.074,45.8744500,10.8667350,0.000,179.9,353.0,-9.0,3.9,78,0.0,0.994606614,-0.076561607,0.038609773,-0.058289625
2024-04-01T10:14:55.659,45.8744483,10.8667333,0.000,179.9,353.0,-6.4,4.1,78,0.0,0.996085286,-0.053335372,0.038764156,-0.058813307
2024-04-01T10:14:56.067,45.8744483,10.8667333,0.000,179.9,355.1,-4.9,4.3,78,0.0,0.997554123,-0.040893055,0.038889587,-0.041139457
2024-04-01T10:14:56.658,45.8744466,10.8667316,0.000,179.9,355.8,-4.2,3.7,78,0.0,0.998176455,-0.035125382,0.033522520,-0.035751477
2024-04-01T10:14:57.081,45.8744466,10.8667316,0.000,179.9,357.0,-4.5,4.2,78,0.0,0.998246193,-0.038257875,0.037448630,-0.025097663
2024-04-01T10:14:57.658,45.8744483,10.8667316,0.000,179.9,351.3,-8.3,4.1,78,0.0,0.994034708,-0.069405228,0.040921632,-0.073454201
2024-04-01T10:14:58.076,45.8744483,10.8667316,0.000,179.9,345.0,-10.1,3.5,78,0.0,0.987554669,-0.082886301,0.041295145,-0.127092287
2024-04-01T10:14:58.658,45.8744483,10.8667316,0.000,179.9,352.8,-5.9,4.4,78,0.0,0.996030986,-0.049272113,0.041926917,-0.061065409
2024-04-01T10:14:59.077,45.8744500,10.8667316,0.000,179.9,348.6,-7.3,3.6,78,0.0,0.992717206,-0.059984036,0.037937667,-0.097299792
2024-04-01T10:14:59.657,45.8744483,10.8667316,0.000,179.9,355.1,-7.4,4.6,78,0.0,0.996329308,-0.062372833,0.043150533,-0.039597094
2024-04-01T10:15:00.077,45.8744483,10.8667316,0.000,179.9,353.0,-4.7,6.3,78,0.0,0.995904684,-0.037422843,0.057370093,-0.058938306
2024-04-01T10:15:00.659,45.8744600,10.8667416,0.000,179.9,345.3,-10.4,2.5,78,0.0,0.987770736,-0.086646736,0.033281673,-0.125243515
2024-04-01T10:15:01.063,45.8744716,10.8667516,0.000,179.9,345.1,-10.3,3.6,78,0.0,0.987455666,-0.084693134,0.042890899,-0.126135588
2024-04-01T10:15:01.661,45.8744866,10.8667650,0.000,179.9,342.0,-11.1,4.4,78,0.0,0.982851386,-0.089360975,0.053076908,-0.152289867
2024-04-01T10:15:02.076,45.8744933,10.8667716,0.000,179.9,343.1,-9.9,4.5,78,0.0,0.985212028,-0.079420716,0.051649749,-0.142738298
2024-04-01T10:15:02.657,45.8744866,10.8667700,0.000,179.9,351.5,-4.2,3.4,78,0.0,0.996219814,-0.034371622,0.032619536,-0.072747968
2024-04-01T10:15:03.083,45.8744833,10.8667683,0.000,179.9,358.7,-2.2,5.7,78,0.0,0.998515546,-0.018334674,0.050097506,-0.010625819
2024-04-01T10:15:03.661,45.8744783,10.8667683,0.000,179.9,351.7,-8.0,3.7,78,0.0,0.994614899,-0.066850439,0.036972512,-0.069981791
2024-04-01T10:15:04.073,45.8744783,10.8667666,0.000,179.9,347.0,-9.2,4.1,78,0.0,0.990061641,-0.075453006,0.044587787,-0.109946787
2024-04-01T10:15:04.563,45.8744766,10.8667666,0.000,179.9,351.0,-6.0,3.5,78,0.0,0.995241046,-0.049387217,0.034592841,-0.076490127
2024-04-01T10:15:05.079,45.8744750,10.8667683,0.000,179.9,359.0,-3.8,3.3,78,0.0,0.998992920,-0.033299793,0.028850742,-0.007992497
2024-04-01T10:15:05.656,45.8744750,10.8667683,0.000,179.9,359.8,-3.9,4.2,79,0.0,0.998741984,-0.034249086,0.036520373,-0.000611176
2024-04-01T10:15:06.076,45.8744750,10.8667683,0.000,179.9,352.4,-7.4,3.6,79,0.0,0.995416820,-0.061944209,0.035144974,-0.063754626
2024-04-01T10:15:06.659,45.8744766,10.8667700,0.000,179.9,355.5,-6.1,5.2,79,0.0,0.996879041,-0.051134676,0.047675744,-0.036556344
2024-04-01T10:15:07.071,45.8744766,10.8667700,0.000,179.9,1.5,-2.3,4.4,79,0.0,0.998971343,-0.020644594,0.037946451,0.013485317
2024-04-01T10:15:07.654,45.8744783,10.8667716,0.000,179.9,4.6,0.5,3.6,79,0.0,0.998715997,0.002754890,0.031325594,0.039609518
2024-04-01T10:15:08.079,45.8744783,10.8667733,0.000,179.9,1.0,-0.3,2.4,79,0.0,0.999738634,-0.002525631,0.020662362,0.008979812
2024-04-01T10:15:08.563,45.8744783,10.8667733,0.000,179.9,1.0,-1.2,4.6,79,0.0,0.999093294,-0.011083432,0.040001638,0.009013237
2024-04-01T10:15:09.078,45.8744783,10.8667733,0.000,179.9,5.9,0.2,2.6,79,0.0,0.998427272,0.000998426,0.022395801,0.051301297
2024-04-01T10:15:09.564,45.8744783,10.8667733,0.000,179.9,0.9,-2.1,4.2,79,0.0,0.999103189,-0.018822819,0.036796860,0.008725370
2024-04-01T10:15:10.065,45.8744783,10.8667733,0.000,179.9,357.7,-5.1,4.3,79,0.0,0.998114347,-0.044023320,0.038721245,-0.017955758
2024-04-01T10:15:10.567,45.8744783,10.8667733,0.000,179.9,358.9,-5.3,3.8,79,0.0,0.998360574,-0.045798093,0.033320066,-0.007767975
2024-04-01T10:15:11.070,45.8744783,10.8667733,0.000,179.9,5.8,-3.3,3.7,79,3.1,0.997739732,-0.030021178,0.030346688,0.051836357
2024-04-01T10:15:11.570,45.8744783,10.8667733,0.000,179.9,355.6,-8.2,3.3,79,3.1,0.996383548,-0.070071697,0.031202035,-0.036449060
2024-04-01T10:15:12.070,45.8744783,10.8667733,0.000,179.9,357.1,-4.6,3.1,79,3.1,0.998513818,-0.039645463,0.028169971,-0.024414707
